file,course_id,section,crn,status,error_type,error_detail,chunk_count,COURSE_OVERVIEW_tok,COURSE_SUMMARY_tok,INSTRUCTOR_tok,PREREQUISITES_tok,LEARNING_OUTCOMES_tok,MATERIALS_tok,GRADING_tok,SCHEDULE_tok,ATTENDANCE_AND_MAKEUP_tok,AI_POLICY_tok,UNIVERSITY_POLICIES_tok,SAFETY_tok,course_url,flags,parsed_at,pdf_link,json_link
202541_CSCE_605_600_62077.pdf,CSCE 605,600 (62077),62077,OK,,,11,1229,198,34,212,106,638,1838,23,470,131,2552,0,,COURSE_SUMMARY:TOO_SMALL(198); SCHEDULE:TOO_SMALL(23),2026-03-06T09:04:37.829155,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/tmp_605/202541_CSCE_605_600_62077.pdf"",""202541_CSCE_605_600_62077.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/gem_parsed_20260306/202541_CSCE_605_600_62077.json"",""202541_CSCE_605_600_62077.json"")"
202541_CSCE_606_600_20451.pdf,CSCE 606,600,20451,OK,,,4,0,43,8,16,15,0,0,0,0,0,,0,,COURSE_SUMMARY:TOO_SMALL(43); INSTRUCTOR:TOO_SMALL(8); PREREQUISITES:TOO_SMALL(16); LEARNING_OUTCOMES:TOO_SMALL(15),2026-03-06T04:58:09.531404,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_606_600_20451.pdf"",""202541_CSCE_606_600_20451.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/gem_parsed_20260306/202541_CSCE_606_600_20451.json"",""202541_CSCE_606_600_20451.json"")"
202541_CSCE_612_600_58249.pdf,CSCE 612,600,58249,OK,,,11,32,233,24,46,39,64,319,366,152,28,,0,http://irl.cse.tamu.edu/courses/463/,,2026-03-06T01:46:24.936642,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_612_600_58249.pdf"",""202541_CSCE_612_600_58249.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/gem_parsed_20260306/202541_CSCE_612_600_58249.json"",""202541_CSCE_612_600_58249.json"")"
202541_CSCE_620_600_62082.pdf,CSCE 620,600,,OK,,,10,372,216,35,24,105,91,110,271,91,0,,0,https://people.engr.tamu.edu/j-chen3/courses/620/2025/courseweb.html,,2026-03-06T04:16:24.596438,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_620_600_62082.pdf"",""202541_CSCE_620_600_62082.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/gem_parsed_20260306/202541_CSCE_620_600_62082.json"",""202541_CSCE_620_600_62082.json"")"
202541_CSCE_633_600_33086.pdf,CSCE 633,600,33086,OK,,,11,411,200,28,69,39,64,50,201,246,63,,0,,,2026-03-06T01:47:35.812506,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_633_600_33086.pdf"",""202541_CSCE_633_600_33086.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/gem_parsed_20260306/202541_CSCE_633_600_33086.json"",""202541_CSCE_633_600_33086.json"")"
202541_CSCE_646_600_59338.pdf,CSCE 646,600,59338,OK,,,10,64,274,533,28,150,171,358,126,91,0,,0,people.tamu.edu/~ergun/courses/viza654,,2026-03-06T04:16:52.823414,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_646_600_59338.pdf"",""202541_CSCE_646_600_59338.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/gem_parsed_20260306/202541_CSCE_646_600_59338.json"",""202541_CSCE_646_600_59338.json"")"
202541_CSCE_652_600_58334.pdf,CSCE 652,600,58334,OK,,,10,82,228,43,16,104,146,131,399,0,84,,0,,PREREQUISITES:TOO_SMALL(16),2026-03-06T04:17:21.275842,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_652_600_58334.pdf"",""202541_CSCE_652_600_58334.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/gem_parsed_20260306/202541_CSCE_652_600_58334.json"",""202541_CSCE_652_600_58334.json"")"
202541_CSCE_654_600_62088.pdf,CSCE 654,600,62088,OK,,,9,104,292,26,0,102,49,44,613,82,0,,0,,GRADING:TOO_SMALL(44),2026-03-06T04:17:39.829602,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_654_600_62088.pdf"",""202541_CSCE_654_600_62088.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/gem_parsed_20260306/202541_CSCE_654_600_62088.json"",""202541_CSCE_654_600_62088.json"")"
202541_CSCE_676_600_62085.pdf,CSCE 676,600,62085,OK,,,8,54,180,24,56,140,51,856,108,0,0,,0,,COURSE_SUMMARY:TOO_SMALL(180),2026-03-06T04:58:35.722288,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_676_600_62085.pdf"",""202541_CSCE_676_600_62085.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/gem_parsed_20260306/202541_CSCE_676_600_62085.json"",""202541_CSCE_676_600_62085.json"")"
202541_CSCE_708_600_57946.pdf,CSCE 708,600,57946,OK,,,10,116,372,32,24,258,154,592,508,0,84,,0,,,2026-03-06T04:18:22.872289,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_708_600_57946.pdf"",""202541_CSCE_708_600_57946.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/gem_parsed_20260306/202541_CSCE_708_600_57946.json"",""202541_CSCE_708_600_57946.json"")"
202611_CSCE_608_600_46648.pdf,CSCE 608,600,46648,OK,,,11,225,194,32,29,71,82,66,203,409,13,,0,,COURSE_SUMMARY:TOO_SMALL(194); AI_POLICY:TOO_SMALL(13),2026-03-06T03:42:11.876577,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/syllabi/202611_CSCE_608_600_46648.pdf"",""202611_CSCE_608_600_46648.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/gem_parsed_20260306/202611_CSCE_608_600_46648.json"",""202611_CSCE_608_600_46648.json"")"
202611_CSCE_611_600_50668.pdf,CSCE 611,600,50668,OK,,,11,336,278,46,16,198,164,534,486,184,523,,0,,PREREQUISITES:TOO_SMALL(16),2026-03-06T01:58:06.477917,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/syllabi/202611_CSCE_611_600_50668.pdf"",""202611_CSCE_611_600_50668.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/gem_parsed_20260306/202611_CSCE_611_600_50668.json"",""202611_CSCE_611_600_50668.json"")"
202611_CSCE_612_600_42640.pdf,CSCE 612,600,42640,OK,,,11,262,302,54,2,72,39,477,377,38,28,,0,,PREREQUISITES:TOO_SMALL(2),2026-03-06T04:18:55.637246,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/syllabi/202611_CSCE_612_600_42640.pdf"",""202611_CSCE_612_600_42640.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/gem_parsed_20260306/202611_CSCE_612_600_42640.json"",""202611_CSCE_612_600_42640.json"")"
202611_CSCE_614_600_42743.pdf,CSCE 614,600,42743,OK,,,10,72,242,40,37,118,42,664,201,86,371,,0,,,2026-03-06T04:59:03.280649,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202611_CSCE_614_600_42743.pdf"",""202611_CSCE_614_600_42743.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/gem_parsed_20260306/202611_CSCE_614_600_42743.json"",""202611_CSCE_614_600_42743.json"")"
202611_CSCE_670_600_46627.pdf,CSCE 670,600,46627,OK,,,10,103,321,88,52,207,101,354,280,86,178,,0,,,2026-03-06T04:59:34.317760,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/syllabi/202611_CSCE_670_600_46627.pdf"",""202611_CSCE_670_600_46627.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/gem_parsed_20260306/202611_CSCE_670_600_46627.json"",""202611_CSCE_670_600_46627.json"")"
202541_CSCE_111_500_49744.pdf,CSCE 111,500 (49744),49744,OK,,,10,525,403,32,0,242,141,553,424,38,84,313,0,,,2026-03-06T08:55:13.149854,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_111_500_49744.pdf"",""202541_CSCE_111_500_49744.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/gem_parsed_20260306/202541_CSCE_111_500_49744.json"",""202541_CSCE_111_500_49744.json"")"
202541_CSCE_111_501_10917.pdf,CSCE 111,501,10917,OK,,,9,525,436,32,0,242,141,604,424,0,84,314,0,,,2026-03-06T08:58:42.873049,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_111_501_10917.pdf"",""202541_CSCE_111_501_10917.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/gem_parsed_20260306/202541_CSCE_111_501_10917.json"",""202541_CSCE_111_501_10917.json"")"
202541_CSCE_111_502_10918.pdf,,,,FAILED,JSON_PARSE_ERROR,JSON parse error: Invalid control character at: line 53 column 536 (char 4097),0,0,0,0,0,0,0,0,0,0,0,0,0,,,2026-03-06T08:59:15.702960,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_111_502_10918.pdf"",""202541_CSCE_111_502_10918.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/gem_parsed_20260306/202541_CSCE_111_502_10918.json"",""202541_CSCE_111_502_10918.json"")"
202541_CSCE_111_503_45409.pdf,CSCE 111,503,45409,OK,,,10,525,421,32,0,242,141,602,424,233,84,80,0,,,2026-03-06T08:59:45.690752,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_111_503_45409.pdf"",""202541_CSCE_111_503_45409.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/gem_parsed_20260306/202541_CSCE_111_503_45409.json"",""202541_CSCE_111_503_45409.json"")"
202541_CSCE_111_504_22909.pdf,CSCE 111,504,22909,OK,,,10,525,407,32,0,242,141,542,423,272,84,80,0,,,2026-03-06T09:00:19.127613,"=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/raw/simple_syllabus_20260305/202541_CSCE_111_504_22909.pdf"",""202541_CSCE_111_504_22909.pdf"")","=HYPERLINK(""file:///C:/dev/TAMU_NEW/tamu_data/processed/gem_parsed_20260306/202541_CSCE_111_504_22909.json"",""202541_CSCE_111_504_22909.json"")"
